"Year","Tm","FG","FGA","X3P","X3PA","X2P","X2PA","FT","FTA","ORB","DRB","AST","STL","BLK","TOV","PTS"
1950,"AND",1943,6254,NA,NA,1943,6254,1703,2343,NA,NA,1240,NA,NA,NA,5589
1950,"BLB",1712,5516,NA,NA,1712,5516,1549,2123,NA,NA,1189,NA,NA,NA,4973
1950,"BOS",1945,5756,NA,NA,1945,5756,1530,2163,NA,NA,1473,NA,NA,NA,5420
1950,"CHS",2003,5892,NA,NA,2003,5892,1346,1934,NA,NA,1366,NA,NA,NA,5352
1950,"DNN",1731,5182,NA,NA,1731,5182,1355,1999,NA,NA,1044,NA,NA,NA,4817
1950,"FTW",1878,5901,NA,NA,1878,5901,1634,2331,NA,NA,1364,NA,NA,NA,5390
1950,"INO",1982,5283,NA,NA,1982,5283,1529,2145,NA,NA,1342,NA,NA,NA,5493
1950,"MNL",2139,5832,NA,NA,2139,5832,1439,1943,NA,NA,1406,NA,NA,NA,5717
1950,"NYK",1889,5351,NA,NA,1889,5351,1710,2404,NA,NA,1308,NA,NA,NA,5488
1950,"PHW",1779,5711,NA,NA,1779,5711,1425,2037,NA,NA,1142,NA,NA,NA,4983
1950,"ROC",1956,5247,NA,NA,1956,5247,1690,2319,NA,NA,1383,NA,NA,NA,5602
1950,"SHE",1727,5022,NA,NA,1727,5022,1654,2338,NA,NA,1279,NA,NA,NA,5108
1950,"STB",1741,5086,NA,NA,1741,5086,1528,2149,NA,NA,1285,NA,NA,NA,5010
1950,"SYR",1869,5276,NA,NA,1869,5276,1691,2396,NA,NA,1473,NA,NA,NA,5429
1950,"TOT",4765,15294,NA,NA,4765,15294,4226,6149,NA,NA,3491,NA,NA,NA,13756
1950,"TRI",1818,5515,NA,NA,1818,5515,1677,2408,NA,NA,1330,NA,NA,NA,5313
1950,"WAT",1746,4904,NA,NA,1746,4904,1429,2002,NA,NA,1324,NA,NA,NA,4921
1950,"WSC",1813,5493,NA,NA,1813,5493,1575,2109,NA,NA,1057,NA,NA,NA,5201
1951,"BLB",1607,4571,NA,NA,1607,4571,1219,1630,NA,NA,1114,NA,NA,NA,4433
